  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     6.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -6.000  -0.2067   0.00671   0.00192  -0.1013   0.6662   0.0402
  -5.000  -0.0918   0.00647   0.00160  -0.1017   0.6203   0.0500
  -4.000   0.0233   0.00631   0.00136  -0.1021   0.5753   0.0634
  -3.000   0.1386   0.00619   0.00120  -0.1025   0.5330   0.0829
  -2.000   0.2540   0.00609   0.00110  -0.1030   0.4976   0.1115
  -1.000   0.3698   0.00600   0.00105  -0.1037   0.4705   0.1506
  -0.000   0.4854   0.00596   0.00107  -0.1043   0.4454   0.2013
   1.000   0.6012   0.00592   0.00114  -0.1050   0.4271   0.2654
   2.000   0.7163   0.00588   0.00127  -0.1056   0.4090   0.3544
   3.000   0.8292   0.00572   0.00148  -0.1060   0.3852   0.5584
   4.000   0.9398   0.00577   0.00180  -0.1060   0.3515   0.7403
   5.000   1.0340   0.00594   0.68248  -0.8419   0.6587   100086
   6.000   1.1535   0.00670   0.00282  -0.1045   0.2547   1.0000
   7.000   1.2519   0.00770   0.00351  -0.1023   0.1984   1.0000
   8.000   1.3450   0.00893   0.00442  -0.0993   0.1419   1.0000
   9.000   1.4318   0.01030   0.00551  -0.0953   0.0957   1.0000
  10.000   1.5076   0.01168   0.00671  -0.0892   0.0674   1.0000
